country,year,n_obs,n_vars,c22b,k33,b8,e6,d3a,d3b,d3c,n3,d2,l1,b7,b7a,b4,b6a,b5,a4a
China,2024,2189,339,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Vietnam,2023,1028,355,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Vietnam,2015,996,352,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Singapore,2023,623,356,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Vietnam,2009,1053,287,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Cambodia,2013,472,579,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bhutan,2009,250,213,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True
Vanuatu,2009,128,187,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True
Mongolia,2019,360,437,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Afghanistan,2014,410,307,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Afghanistan,2025,426,336,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Philippines,2023,1002,354,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Armenia,2020,546,434,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Pakistan,2013,1247,301,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bangladesh,2013,1442,300,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Uzbekistan,2013,390,389,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Cambodia,2023,519,368,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Bhutan,2015,253,307,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SriLanka,2025,607,336,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Bangladesh,2022,998,490,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Cambodia,2016,373,353,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Uzbekistan,2019,1239,437,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Armenia,2013,360,388,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Mongolia,2009,362,282,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True
SriLanka,2011,610,300,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bhutan,2024,155,339,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Pakistan,2022,1300,434,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Armenia,2009,374,283,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True
Bahrain,2024,150,339,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Malaysia,2015,1000,352,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Uzbekistan,2024,1008,340,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Nepal,2023,582,359,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Armenia,2024,375,340,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Malaysia,2024,979,339,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Cyprus,2019,240,437,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Mongolia,2013,360,387,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Brunei,2025,150,336,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Thailand,2025,813,336,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Vanuatu,2023,111,354,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Malaysia,2019,1221,384,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True
KyrgyzRepublic,2019,360,437,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Korea,2024,1518,339,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Laos,2016,368,353,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Indonesia,2015,1320,352,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Myanmar,2014,632,298,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Tajikistan,2019,352,437,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Kazakhstan,2024,1013,340,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Kazakhstan,2019,1446,437,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Kazakhstan,2009,544,283,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True
KyrgyzRepublic,2023,354,355,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
India,2014,9281,301,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Thailand,2016,1000,352,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Indonesia,2009,1444,291,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Taiwan,2024,612,339,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
TimorLeste,2015,126,315,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KyrgyzRepublic,2013,270,388,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Laos,2018,332,347,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
India,2022,9376,331,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Tajikistan,2013,359,388,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Turkmenistan,2024,311,341,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
SolomonIslands,2025,150,336,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Indonesia,2023,2955,431,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Tajikistan,2024,364,340,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Laos,2024,363,339,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Kazakhstan,2013,600,389,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
HongKong,2023,598,356,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
TimorLeste,2009,150,186,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True
Myanmar,2016,607,328,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
India,2025,10479,339,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Iraq,2011,756,287,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Israel,2013,483,417,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PapuaNewGuinea,2024,145,339,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Jordan,2013,573,416,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Jordan,2024,592,339,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
KyrgyzRepublic,2009,235,282,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True
Kuwait,2025,150,337,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Yemen,2010,477,295,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Lebanon,2009,382,651,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Israel,2024,388,339,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Georgia,2023,592,358,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
TimorLeste,2021,238,447,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Lebanon,2013,561,416,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Tonga,2024,150,339,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Georgia,2013,360,387,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Maldives,2025,154,336,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Kiribati,2025,150,336,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
PapuaNewGuinea,2015,65,315,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Cyprus,2024,246,339,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Georgia,2019,581,437,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Qatar,2025,480,337,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Fiji,2025,151,336,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Jordan,2019,601,437,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Samoa,2023,157,354,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Yemen,2013,353,417,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Iraq,2022,1019,509,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Lebanon,2019,532,433,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SaudiArabia,2025,1002,336,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Mongolia,2025,601,337,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Fiji,2009,164,188,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True
Philippines,2009,1326,466,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Philippines,2015,1335,466,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Philippines_panel,2009,1326,466,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Philippines_panel,2015,1335,466,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Philippines,2009,1326,466,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Philippines,2015,1335,466,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Philippines_panel,2009,1326,466,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Philippines_panel,2015,1335,466,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Mongolia_panel,2009,362,682,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Mongolia_panel,2013,360,682,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Mongolia_panel,2019,360,682,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
