id,title,authors,year,journal,doi,screen_decision,screen_reason,round2_decision,round2_reason,round3_decision,round3_reason,round4_decision,round4_reason
S0102,Internationalization and Organizational Resilience to COVID-19 Crisis: The Moderating Effect of Digitalization,"Wang, Yueqi; Chen, Shouming; Hu, Yuanyuan",2024,SAGE OPEN,10.1177/21582440241229561,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,Y,SI:intl_resilience_crisis
S0126,"Investing Abroad, Transforming at Home: An Empirical Study of Outward Foreign Direct Investment and Korean Manufacturing's Servicification* *","Jung, Yonggeun; Hur, Jung",2024,EAST ASIAN ECONOMIC REVIEW,10.2139/ssrn.4881126,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,Y,SI:ofdi_home_transform
S0127,Does corporate internationalization affect analysts' ' earnings forecast bias? Evidence from China,"Wang, Linjiang; Zhang, Guiling; Lou, Xu; Guo, Fei",2024,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,10.1016/j.ribaf.2024.102505,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,Y,SI:analyst_forecast
S0191,Promoting the International Competitiveness of Small and Medium-Sized Enterprises Through Cross-Border E-Commerce Development,"Wen, Huwei; Liu, Yutong; Zhou, Fengxiu",2023,SAGE OPEN,10.1177/21582440231210119,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,Y,composite_intl_perf
S0249,"Internationalization, foreign exchange exposure and firm risk","Likitwongkajon, Napaporn; Vithessonthi, Chaiporn",2022,INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS,10.1016/j.irfa.2022.102334,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,Y,SI:fx_exposure_perf
S0298,Taking social responsibilities overseas? The learning paths and performance consequences of Chinese multinationals,"Wu, Sihong; Fan, Di",2021,JOURNAL OF GENERAL MANAGEMENT,10.1177/0306307020984566,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,Y,SI:perf_consequences
S0332,Speed of FDI expansions and the survival of Korean SMEs: the moderating role of ownership structure,"Cho, Jaeyoung; Lee, Jangwoo",2020,ASIAN BUSINESS & MANAGEMENT,10.1057/s41291-018-0045-7,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,Y,SI:sme_fdi_survival
S0404,"From domestic to exporter, what happens? Evidence for Spanish manufacturing firms","Serrano, Javier; Myro, Rafael",2019,STRUCTURAL CHANGE AND ECONOMIC DYNAMICS,10.1016/j.strueco.2019.01.005,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,Y,SI:dom_to_exp
S0407,'Misfits' DO try to fit: Deviations from firm-specific optimal multinationality and subsequent market entry or exit in US law firms,"Powell, K. Skylar; Lim, Eunah",2018,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2017.09.023,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,Y,SI:optimal_doi_deviations
S0470,Where to Seek Strategic Assets for Competitive Catch-up? A configurational study of emerging multinational enterprises expanding into foreign strategic factor markets,"Cui, Lin; Fan, Di; Liu, Xiaohui; Li, Yi",2017,ORGANIZATION STUDIES,10.1177/0170840616670441,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,Y,composite_intl_perf
S0550,Multilocalisation and the Growth of Knowledge Assets in Medium-Sized Multinationals (MSMs),"Marcone, Maria Rosaria",2016,JOURNAL OF THE KNOWLEDGE ECONOMY,10.1007/s13132-015-0256-5,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,Y,SI:multiloc_knowledge
S0588,When over internationalized companies reduce their international footprint,"Buigues, Pierre-Andre; Lacoste, Denis; Lavigne, Stephanie",2015,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2015.04.006,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,Y,SI:over_intl_reduce
S0591,Performance of unlisted Italian companies acquired by multinationals from emerging markets The case of Indian acquisitions,"Aureli, Selena",2015,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,10.1108/jocm-12-2014-0233,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,Y,SI:unlisted_acq_perf
S0699,"Multinationals, R&D, and productivity: evidence for UK manufacturing firms","Anon Higon, Dolores; Manjon Antolin, Miguel; Manez, Juan A.",2011,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtr007,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,Y,composite_intl_perf
S0703,"MNC STRATEGIES, EXOGENOUS SHOCKS, AND PERFORMANCE OUTCOMES","Li, Sali; Tallman, Stephen",2011,STRATEGIC MANAGEMENT JOURNAL,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,Y,SI:mnc_strategy_perf
