model,n,r2,adj_r2,aic,turning_point_pct,lm_p,shape,tci_mod_joint_p,dai_mod_joint_p
M0,78927,0.0,0.0,384950.37,,,,,
M1,78927,0.0003,0.0003,384930.64,,,,,
M2,78927,0.0004,0.0003,384925.62,55.8,0.0082,inverted-U,,
M3,77486,0.0055,0.0054,375827.67,,1.0,U or linear (b2>=0),,
M5,77486,0.7527,0.7523,268224.46,33.4,0.0,inverted-U,,
M6,77209,0.0089,0.0088,374186.23,,1.0,U or linear (b2>=0),,
M7,77209,0.0092,0.0091,374162.59,,1.0,U or linear (b2>=0),0.0,
M8,77124,0.011,0.0109,373584.58,,1.0,U or linear (b2>=0),,0.0195
M9,73948,0.0131,0.0129,357281.22,,1.0,U or linear (b2>=0),,
M10,74398,0.0111,0.011,358925.09,34.4,0.0,inverted-U,,
M11,71306,0.0141,0.0139,343035.8,,1.0,U or linear (b2>=0),,
