"model","term","beta","se","t_stat","p_value","signif"
"M0_controls_FE","ln_size",-0.033718,0.088693,-0.3802,0.704224,""
"M0_controls_FE","firm_age",0.014725,0.006027,2.4432,0.015413,"*"
"M0_controls_FE","foreign_own_pct",-0.432912,0.43321,-0.9993,0.318833,""
"M1_fsts_c","fsts_c",-1.339253,0.385679,-3.4725,0.000631,"***"
"M1_fsts_c","ln_size",0.001934,0.089385,0.0216,0.982758,""
"M1_fsts_c","firm_age",0.014253,0.006093,2.3392,0.020302,"*"
"M1_fsts_c","foreign_own_pct",-0.426404,0.422943,-1.0082,0.314573,""
"M2_quadratic","fsts_c",-2.17747,1.603039,-1.3583,0.175879,""
"M2_quadratic","fsts_c2",1.124725,1.942792,0.5789,0.56329,""
"M2_quadratic","ln_size",0.008414,0.090171,0.0933,0.925749,""
"M2_quadratic","firm_age",0.014321,0.00613,2.3362,0.020467,"*"
"M2_quadratic","foreign_own_pct",-0.425711,0.423028,-1.0063,0.315461,""
"M3_capability","fsts_c",-2.979413,1.548838,-1.9236,0.055855,"."
"M3_capability","fsts_c2",2.203804,1.795894,1.2271,0.221251,""
"M3_capability","tci_z",0.298574,0.098944,3.0176,0.002888,"**"
"M3_capability","dai_z",0.094198,0.087805,1.0728,0.284681,""
"M3_capability","ln_size",-0.032253,0.089184,-0.3616,0.718009,""
"M3_capability","firm_age",0.015313,0.006192,2.4729,0.014259,"*"
"M3_capability","foreign_own_pct",-0.401376,0.448708,-0.8945,0.372149,""
"M_yearFE_only","fsts",-3.351476,0.808205,-4.1468,5e-05,"***"
"M_yearFE_only","ln_size",-0.101859,0.146526,-0.6952,0.48775,""
"M_yearFE_only","firm_age",-0.00848,0.010209,-0.8307,0.40714,""
"M_yearFE_only","foreign_own_pct",0.297129,0.611464,0.4859,0.627541,""
"M_bivariate","fsts",-0.864207,0.440888,-1.9602,0.050268,"."
